144,"AYILA HIGH SCHOOL SENIOR, AYILA (JNR)",OGUN WATERSIDE
145,"AYILA HIGH SCHOOL SENIOR, AYILA (SNR)",OGUN WATERSIDE
146,"COMMUNITY HIGH SCHOOL,IBIADE (SNR)",OGUN WATERSIDE
147,"IBIADE COMPREHENSIVE HIGH, AGODO (SNR)",OGUN WATERSIDE
148,ILUSIN GRAMMAR SCHOOL ILUSIN (SNR),OGUN WATERSIDE
149,"ST. KIZITO'S HIGH SCHOOL, IWOPIN. (SNR)",OGUN WATERSIDE
150,"ODE REMO HIGH SCHOOL (SENIOR), ODE REMO",REMO NORTH
151,"BATORO COMMUNITY GRAMMAR SCHOOL, SAGAMU (SNR)",SAGAMU
152,"MAKUN HIGH SCHOOL, SAGAMU (SNR)",SAGAMU
153,"METHODIST COMPREHENSIVE COLLEGE,  SAGAMU (SNR)",SAGAMU
154,"MUSLIM HIGH SCHOOL, SAGAMU (SNR)",SAGAMU
155,"OGIJO COMMUNITY  HIGH SCHOOL, OGIJO (SNR)",SAGAMU
156,"REMO DIVISIONAL HIGH SCHOOL, SAGAMU (SNR)",SAGAMU
157,"REMO SECONDARY  SCHOOL, SAGAMU (SNR)",SAGAMU
158,"SAGAMU  HIGH SCHOOL, SAGAMU (SNR)",SAGAMU
159,"SONYINDO COMMUNITY. HIGH SCHOOL, SAGAMU (SNR)",SAGAMU
160,AJODA HIGH SCHOOL (SENIOR) AYETORO,YEWA NORTH
161,ALAYE HIGH SCHOOL (SENIOR) AYETORO,YEWA NORTH
162,AYETORO COMMUNITY GRAMMAR SCHOOL (SENIOR) AYETORO,YEWA NORTH
163,COMMUNITY HIGH SCHOOL (SENIOR) IJOUN,YEWA NORTH
164,COMPREHENSIVE HIGH SCHOOL (SENIOR) AYETORO,YEWA NORTH
165,KETU COLLEGE (SENIOR) IGAN - ALADE,YEWA NORTH
166,OLUASO HIGH SCHOO (SENIOR) IMASAYI,YEWA NORTH
167,ORITA COMMUNITY HIGH SCHOOL (SENIOR) OJA ODAN,YEWA NORTH
168,OWODE KETU COMMERCIAL HIGH SCHOOL (SENIOR) OWODE KETU,YEWA NORTH
169,YEWA SECONDARY SCHOOL (SENIOR) IGBOGILA,YEWA NORTH
170,ANGLICAN GRAMMAR SCHOOL (SNR) ILARO,YEWA SOUTH
171,"AREA COMMUNITY HIGH SCHOOL, OWODE (SNR)",YEWA SOUTH
172,"ARMY DAY SEC SCHOOL, OWODE (SNR)",YEWA SOUTH
173,"EMMANUEL COMMERCIAL HIGH SCHOOL (SNR), ILARO",YEWA SOUTH
174,ITOLU COMMUNITY HIGH SCHOOL (SNR),YEWA SOUTH
175,IWOYE AREA COMMUNITY HIGH SCHOOL (SENIOR) IWOYE,YEWA SOUTH
176,IYEWA HIGH SCHOOL (SNR),YEWA SOUTH
177,"MUSLIM PROGRESSIVE HIGH SCHOOL, OKE -ODAN (SNR)",YEWA SOUTH
178,"ORONNNA SENIOR SCHOOL,ILARO (SNR)",YEWA SOUTH
179,"OWODE SECONDARY SCHOOL, OWODE (SNR)",YEWA SOUTH
180,"YEWA COLLEGE, ILARO (SNR)",YEWA SOUTH
1	AJIBOYEDE COMPREHENSIVE HIGH SCHOOL, IBARA ORILE (COMBINED)	ABEOKUTA NORTH
2	ANSAR-UD-DEEN GRAMMAR SCHOOL (SNR), ISAGA ORILE (COMBINED)	ABEOKUTA NORTH
3	IDI-EMI HIGH SCHOOL (SNR), IDI-EMI (COMBINED)	ABEOKUTA NORTH
