NAME OF SCHOOL
Owode Ketu Commercial High School (Junior) Owode Ketu
Yewa Secondary School (Junior) Igbogila
Ajoda High School (Senior) Ayetoro
Alaye High School (Senior) Ayetoro
Ayetoro Community Grammar School (Senior) Ayetoro
Community High School (Senior) Ijoun
Comprehensive High School (Senior) Ayetoro
Ketu College (Senior) Igan - Alade
Oluaso High School (Senior) Imasayi
Orita Community High School (Senior) Oja Odan
Owode Ketu Commercial High School (Senior) Owode Ketu
Yewa Secondary School (Senior) Igbogila
"Adokun High School, Igan Okoto"
Area Community High School 
"Asakanran Grammar School, Ibese"
"Community High School, Ebute-Igbooro"
"Community High School, Agbon-Ojodu"
"Community Comprehensive High School, Eggua"
Community High School Ohunbe
Eyinni Comp. High School Iboro
"F.A.C.M(UNA) High School, Igbogila"
"Government Science and Technical College, Ayetoro"
"Community Grammar School, Igbokofi"
"Ketu Community High School, Ijale Ketu"
Muslim Community High School Oja Odan
"Obalaju High School, Joga Orile"
"Sawonjo High School, Sawonjo"
"GOVERNMENT SCIENCE AND TECHNICAL COLLEGE, ILARA REMO"
"ODE REMO HIGH SCHOOL (JUNIOR), ODE REMO"
"ODE REMO HIGH SCHOOL (SENIOR), ODE REMO"
"ISARA SECONDARY SCHOOL, ISARA REMO"
"IYANKAN HIGH SCHOOL, ISARA REMO"
"ORILE OKO COMMUNITY HIGH SCHOOL, ISAN"
"SAAPADE GRAMMAR SCHOOL, SAAPADE"
"IPARA COMMUNITY HIGH SCHOOL, IPARA REMO"
"ILARA/AKAKA COMMUNITY GRAMMAR SCHOOL, ILARA"
"BATORO COMMUNITY HIGH SCHOOL, SAGAMU"
"MAKUN HIGH SCHOOL, SAGAMU"
"METHODIST COMPREHENSIVE COLLEGE, SAGAMU"
"MUSLIM HIGH SCHOOL, SAGAMU"
"OGIJO COMMUNITY HIGH SCHOOL, OGIJO"
"REMO DIVISIONAL HIGH SCHOOL, SAGAMU"
"REMO SECONDARY SCHOOL, SAGAMU"
"SAGAMU HIGH SCHOOL, SAGAMU"
"SONYINDO COMMUNITY HIGH SCHOOL, SAGAMU"
"BATORO COMMUNITY HIGH SCHOOL, SAGAMU"
"MAKUN HIGH SCHOOL, SAGAMU"
"METHODIST COMPREHENSIVE COLLEGE, SAGAMU"
"MUSLIM HIGH SCHOOL, SAGAMU"
"OGIJO COMMUNITY HIGH SCHOOL, OGIJO"
"REMO DIVISIONAL HIGH SCHOOL, SAGAMU"
"REMO SECONDARY SCHOOL, SAGAMU"
"SAGAMU HIGH SCHOOL, SAGAMU"
"SONYINDO COMMUNITY HIGH SCHOOL, SAGAMU"
"AGBELE COMMUNITY HIGH SCHOOL, SAGAMU"
"COMMUNITY GRAMMAR SCHOOL, ODE-LEMO"
"DANIEL COMPREHENSIVE HIGH SCHOOL, SAGAMU"
"IJAGBA COMMUNITY HIGH SCHOOL, SOTUBO"
"MULERUWA COMMUNITY HIGH SCHOOL, GBAGA"
"OFIN HIGH SCHOOL, SAGAMU"
"OLOMIMEJI COMMUNITY HIGH SCHOOL, EMUREN"
"SIMAWA COMMUNITY HIGH SCHOOL, SIMAWA"
"ST. JOHN'S ANGLICAN GRAMMAR SCHOOL, ODE-LEMO"
"OGO-OLUWA C OMMUNITY MODEL SECONDARY SCHOOL, AJEGUNLE, OGIJO"
"AHMADIYYA COMPREHENSIVE HIGH SCHOOL,ONI"
"COMMUNITY HIGH SCHOOL,IBIADE"
ILUSIN GRAMMAR SCHOOL ILUSIN
"ST. KIZITO'S HIGH SCHOOL, IWOPIN."
IBIADE COMPREHENSIVE HIGH SCHOOL 
"AYILA HIGH SCHOOL, AYILA"
ABIGI  COMMUNITY  GRAMMAR  SCHOOL
"AYEDE COMP. HIGH  SCHOOL, AYEDE"
"EFIRE COMMUNITY HIGH SCHOOL,EFIRE"
"IBU COMMUNITY GRAMMAR SCHOOL, IBU"
"ITEBU MANUWA COMPREHENSIVE HIGH SCHOOL,ITEBU MANUWA"
"LOMIRO HIGH SCHOOL, LOMIRO"
"MAKUN OMI COMPREHENSIVE HIGH SCHOOL,MAKUN OMI"
"ODE OMI COMMUNITY GRAMMAR SCH, ODE OMI. OGUN WATERSIDE"
"AHMADIYYA COMPREHENSIVE HIGH SCHOOL,ONI"
"COMMUNITY HIGH SCHOOL,IBIADE"
ILUSIN GRAMMAR SCHOOL ILUSIN
"ST. KIZITO'S HIGH SCHOOL, IWOPIN."
IBIADE COMPREHENSIVE HIGH SCHOOL 
"AYILA HIGH SCHOOL, AYILA"
"COMMUNITY HIGH SCHOOL (JUNIOR), IBAFO"
"OGUNMAKIN HIGH SCHOOL (JUNIOR), SOWUNMI"
"OWODE HIGH SCHOOL (JUNIOR), OWODE EGBA"
"AJEBO COMMUNITY HIGH SCHOOL (JUNIOR), AJEBO"
"EGBA OWODE GRAMMAR SCHOOL (JUNIOR), OWODE"
"EGBA OBAFEMI COMMUNITY HIGH SCHOOL (JUNIOR), OBAFEMI"
"OFADA COMMUNITY HIGH SCHOOL (JUNIOR), OFADA"
"COMMUNITY HIGH SCHOOL (SENIOR), IBAFO"
"OGUNMAKIN HIGH SCHOOL (SENIOR), SOWUNMI"
"OWODE HIGH SCHOOL (SENIOR), OWODE EGBA"
"AJEBO COMMUNITY HIGH SCHOOL (SENIOR), AJEBO"
"EGBA OWODE GRAMMAR SCHOOL (SENIOR), OWODE"
"EGBA OBAFEMI COMMUNITY HIGH SCHOOL (SENIOR), OBAFEMI"
"OFADA COMMUNITY HIGH SCHOOL (SENIOR), OFADA"
"KOBAPE COMMUNITY HIGH SCHOOL (COMBINED), KOBAPE"
"OBA COMMUNITY HIGH SCHOOL (COMBINED), OBA"
"ORILE IGBORE GRAMMAR SCHOOL (COMBINED), AJURA"
"ADESANOLU COMMUNITY HIGH SCHOOL (COMBINED), MOWE"
"OLORUNKOLE GRAMMAR SCHOOL (COMBINED), KAJOLA"
"COMMUNITY HIGH SCHOOL (COMBINED), IRO"
"ALAPAKO-ONI COMMUNITY HIGH SCHOOL (COMBINED), ALAPAKO-ONI"
"MAGBORO COMMUNITY HIGH SCHOOL (COMBINED), MAGBORO"
"COMMUNITY HIGH SCHOOL, ABAREN"
"ALAGBE COMMUNITY HIGH SCHOOL, ALAGBE"
"COMMUNITY COMPREHENSIVE COLLEGE, IDOFA"
"COMMUNITY COMPREHENSIVE HIGH SCHOOL, ATAPELE"
"COMMUNITY COMPREHENSIVE HIGH SCHOOL, OKE-AGBEDED"
"COMMUNITY HIGH SCHOOL, AFON"
"COMMUNITY HIGH SCHOOL, MORIWI"
"MUSLIM GRAMMAR SCHOOL, IMEKO "
"MUSLIM HIGH SCHOOL, ILARA-YEWA"
"OBADA GRAMMAR SCHOOL, OBADA"
"ALAKETU HIGH SCHOOL, IMEKO"
"COMMUNITY HIGH SCHOOL, IDI-AYIN."
"IWOYE-KETU COMMUNITY HIGH SCHOOL, IWOYE-KETU."
"COMMUNITY HIGH SCHOOL, ILARA."
"NAZARETH HIGH SCHOOL, IMEKO."
"ALAKETU HIGH SCHOOL, IMEKO"
"COMMUNITY HIGH SCHOOL, IDI-AYIN."
"IWOYE-KETU COMMUNITY HIGH SCHOOL, IWOYE-KETU."
"COMMUNITY HIGH SCHOOL, ILARA-YEWA."
"NAZARETH HIGH SCHOOL, IMEKO."
"SALAWU ABIOLA COMPREHENSIVE HIGH SCHOOL (JNR), OSIELE"
"SALAWU ABIOLA COMPREHENSIVE HIGH SCHOOL (SNR), OSIELE"
"NAWAIR-UD-DEEN GRAMMAR SCHOOL (JNR), OBANTOKO"
"NAWAIR-UD-DEEN GRAMMAR SCHOOL (SNR), OBANTOKO"
"EGBA ODEDA HIGH SCHOOL (JNR), ODEDA"
"EGBA ODEDA HIGH SCHOOL (SNR), ODEDA"
ORILE ILUGUN COMPREHENSIVE HIGH SCHOOL(JNR) ORILE ILGUN
ORILE ILUGUN COMPREHENSIVE HIGH SCHOOL(SNR) ORILE ILGUN
"ORILE KEESI GRAMMAR SCHOOL(JNR), OLODO"
"ORILE KEESI GRAMMAR SCHOOL(SNR), OLODO"
"ORILE KEMTA COMPREHENSIVE HIGH SCHOOL (JNR), OLUGBO"
"ORILE KEMTA COMPREHENSIVE HIGH SCHOOL (SNR), OLUGBO"
"MUSLIM HIGH SCHOOL, ISOLU"
"ALABATA COMMUNITY HIGH SCHOOL, ALABATA"
"OLOKEMEJI HIGH SCHOOL, OLOKEMEJI"
"ALAGBAGBA COMMUNITY HIGH SCHOOL, ALAGBAGBA"
"ORILE IPORO COMMUNITY HIGH SCHOOL, ORILE IPORO "
"EMULU COMPREHENSIVE HIGH SCHOOL, ORILE ITESI"
"METHODIST HIGH SCHOOL(SENIOR), ARIGBAJO."
"PAPALANTO HIGH SCHOOL (SENIOR), PAPALANTO."
"ITORI COMPREHENSIVE HIGH SCHOOL (SENIOR), ITORI."
"METHODIST HIGH SCHOOL(JUNIOR), ARIGBAJO."
"PAPALANTO HIGH SCHOOL (JUNIOR), PAPALANTO."
"ITORI COMPREHENSIVE HIGH SCHOOL (JUNIOR), ITORI."
"IFEDAPO COMMUNITY COMPREHENSIVE HIGH SCHOOL, AJEGUNLE-ABALABI."
"COMMUNITY COMPREHENSIVE HIGH SCHOOL, OWOWO."
"UNITED COMPREHENSIVE HIGH SCHOOL, WASINMI."
"AKIN OGUNPOLA MODEL COLLEGE, AKINALE."
"OLORUNDA COMMUNITY COMPREHENSIVE HIGH SCHOOL, OLORUNDA."
"ADEOYE LAMBO MEMORIAL HIGH SCHOOL, OBADA-OKO."
"OWU COMMUNITY COMPREHENSIVE HIGH SCHOOL, ELERE-ADUBI."
"GOVERNMENT SCIENCE AND TECHNICAL COLLEGE, AJEGUNLE."
"CHRIST APOSTOLIC GRAMMAR SCHOOL (JUNIOR),IPERU"
"IKENNE COMMUNITY HIGH SCHOOL(JUNIOR), IKENNE"
"ILISAN HIGH SCHOOL (JUNIOR),ILISHAN"
"ISANBI COMPREHENSIVE HIGH SCHOOL (JUNIOR),ILISHAN"
"MAYFLOWER SCHOOL (JUNIOR),IKENNE"
"OSITELU MEMORIAL COLLEGE (JUNIOR),OGERE"
"UNITED HIGH SCHOOL (JUNIOR),IKENNE"
"CHRIST APOSTOLIC GRAMMAR SCHOOL(SENIOR),IPERU"
"IKENNE COMMUNITY HIGH SCHOOL(SENIOR), IKENNE"
"ILISAN HIGH SCHOOL(SENIOR),ILISHAN"
"ISANBI COMPREHENSIVE HIGH SCHOOL(SENIOR),ILISHAN"
"MAYFLOWER SCHOOL (SENIOR),IKENNE"
"OSITELU MEMORIAL COLLEGE (SENIOR),OGERE"
"UNITED HIGH SCHOOL (SENIOR)L, IKENNE"
"AJAGBE HIGH SCHOOL,IPERU"
"AKESAN COMMUNITY GRAMMAR SCHOOL,IPERU"
"IROLU COMMUNITY HIGH SCHOOL,IROLU"
"OGERE COMMUNITY HIGH SCHOOL,OGERE"
ABOBI COMPREHESIVE HIGH SCHOOL JUNIOR AGO IWOYE
ABUSI ODUMARE ACADEMY JUNIOR IJEBU IGBO
AGO IWOYE SECONDARY SCHOOL JUNIOR AGO IWOYE
AHMADIYYA HIGH SCHOOL JUNIOR AGO IWOYE
BEJE HIGH SCHOOL JUNIOR IJEBU IGBO
FOWOSEJE COMPREHENSIVE HIGH SCHOOL JUNIOR AGO IWOYE
ITAMERIN COMPREHENSIVE HIGH SCHOOL JUNIOR ORU IJEBU
JAPARA HIGH SCHOOL JUNIOR IJEBU IGBO
KEGBO COMMUNITY COMPREHENSIVE HIGH SCHOOL JUNIOR IJEBU IGBO
METHODIST COMPREHENSIVE HIGH SCHOOL JUNIOR AGO IWOYE
MUSLIM HIGH SCHOOL JUNIOR AGO IWOYE
OBANTA COMPREHENSIVE HIGH SCHOOL JUNIOR AWA IJEBU 
SHAMSUDEEN GRAMMAR SCHOOL JUNIOR IJEBU-IGBO
SOPEN COMPREHENSIVE HIGH SCHOOL JUNIOR IJEBU-IGBO
MOLUSI COLLEGE JUNIOR IJEBU IGBO
IJEBU IGBO GIRLS GRAMMAR SCHOOL IJEBU-IGBO
GOVERNMENT SCIENCE AND TECHNICAL COLLEGE 
ABOBI COMPREHENSIVE HIGH SCHOOL SENIOR AGO IWOYE
ABUSI ODUMARE ACADEMY SENIOR IJEBU IGBO
AGO IWOYE SECONDARY SCHOOL SENIOR AGO IWOYE
AHMADIYYA HIGH SCHOOL SENIOR AGO IWOYE
BEJE HIGH SCHOOL SENIOR IJEBU IGBO
FOWOSEJE COMPREHENSIVE HIGH SCHOOL SENIOR AGO IWOYE
ITAMERIN COMPREHENSIVE HIGH SCHOOL SENIOR ORU IJEBU
JAPARA HIGH SCHOOL SENIOR IJEBU IGBO
KEGBO COMMUNITY COMPREHENSIVE HIGH SCHOOL SENIOR IJEBU IGBO
METHODIST COMPREHENSIVE HIGH SCHOOL SENIOR AGO IWOYE
MUSILM HIGH SCHOOL SENIOR AGO IWOYE
OBANTA COMPREHENSIVE HIGH SCHOOL SENIOR AWA IJEBU 
SHAMSUDEEN GRAMMAR SCHOOL SENIOR IJEBU-IGBO
SOPEN COMPREHENSIVE HIGH SCHOOL SENIOR IJEBU-IGBO
